NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch,dxcorr_factor
BDC1_0_0,13,0,21,X,0,35,-16.8,0,27,2,0,7.56E-001
BDC1_0_1,13,0,21,X,1,30,-16.8,0,27,2,1,7.56E-001
BDC1_0_2,13,0,21,X,2,25,-16.8,0,27,2,2,7.56E-001
BDC1_0_3,13,0,21,X,3,20,-16.8,0,27,2,3,7.56E-001
BDC1_0_4,13,0,21,X,4,15,-16.8,0,27,2,4,7.56E-001
BDC1_0_5,13,0,21,X,5,10,-16.8,0,27,2,5,7.56E-001
BDC1_0_6,13,0,21,X,6,5,-16.8,0,27,2,6,7.56E-001
BDC1_0_7,13,0,21,X,7,0,-16.8,0,27,2,7,7.56E-001
BDC1_0_8,13,0,21,X,8,-5,-16.8,0,27,2,8,7.56E-001
BDC1_0_9,13,0,21,X,9,-10,-16.8,0,27,2,9,7.56E-001
BDC1_0_10,13,0,21,X,10,-15,-16.8,0,27,2,10,7.56E-001
BDC1_0_11,13,0,21,X,11,-20,-16.8,0,27,2,11,7.56E-001
BDC1_0_12,13,0,21,X,12,-25,-16.8,0,27,2,12,7.56E-001
BDC1_0_13,13,0,21,X,13,-30,-16.8,0,27,2,13,7.56E-001
BDC1_0_14,13,0,21,X,14,-35,-16.8,0,27,2,14,7.56E-001
BDC1_0_15,13,0,21,X,15,-40,-16.8,0,27,2,15,7.56E-001
BDC1_1_0,13,1,22,X,0,37.5,-12,0,27,2,31,1.23138
BDC1_1_1,13,1,22,X,1,32.5,-12,0,27,2,30,1.23138
BDC1_1_2,13,1,22,X,2,27.5,-12,0,27,2,29,1.23138
BDC1_1_3,13,1,22,X,3,22.5,-12,0,27,2,28,1.23138
BDC1_1_4,13,1,22,X,4,17.5,-12,0,27,2,27,1.23138
BDC1_1_5,13,1,22,X,5,12.5,-12,0,27,2,26,1.23138
BDC1_1_6,13,1,22,X,6,7.5,-12,0,27,2,25,1.23138
BDC1_1_7,13,1,22,X,7,2.5,-12,0,27,2,24,1.23138
BDC1_1_8,13,1,22,X,8,-2.5,-12,0,27,2,23,1.23138
BDC1_1_9,13,1,22,X,9,-7.5,-12,0,27,2,22,1.23138
BDC1_1_10,13,1,22,X,10,-12.5,-12,0,27,2,21,1.23138
BDC1_1_11,13,1,22,X,11,-17.5,-12,0,27,2,20,1.23138
BDC1_1_12,13,1,22,X,12,-22.5,-12,0,27,2,19,1.23138
BDC1_1_13,13,1,22,X,13,-27.5,-12,0,27,2,18,1.23138
BDC1_1_14,13,1,22,X,14,-32.5,-12,0,27,2,17,1.23138
BDC1_1_15,13,1,22,X,15,-37.5,-12,0,27,2,16,1.23138
BDC1_2_0,13,2,23,Y,0,35,-7.2,0,27,3,0,9.31E-001
BDC1_2_1,13,2,23,Y,1,30,-7.2,0,27,3,1,9.31E-001
BDC1_2_2,13,2,23,Y,2,25,-7.2,0,27,3,2,9.31E-001
BDC1_2_3,13,2,23,Y,3,20,-7.2,0,27,3,3,9.31E-001
BDC1_2_4,13,2,23,Y,4,15,-7.2,0,27,3,4,9.31E-001
BDC1_2_5,13,2,23,Y,5,10,-7.2,0,27,3,5,9.31E-001
BDC1_2_6,13,2,23,Y,6,5,-7.2,0,27,3,6,9.31E-001
